aar,Afar
abk,Abkhazian
afr,Afrikaans
aka,Akan
alb,Albanian
amh,Amharic
ara,Arabic
arg,Aragonese
arm,Armenian
asm,Assamese
ava,Avaric
ave,Avestan
aym,Aymara
aze,Azerbaijani
bak,Bashkir
bam,Bambara
baq,Basque
bel,Belarusian
ben,Bengali
bih,Bihari languages
bis,Bislama
bos,Bosnian
bre,Breton
bul,Bulgarian
bur,Burmese
cat,Catalan
cha,Chamorro
che,Chechen
chi,Chinese
chu,Church Slavic
chv,Chuvash
cor,Cornish
cos,Corsican
cre,Cree
cze,Czech
dan,Danish
div,Divehi
dut,Dutch
dzo,Dzongkha
eng,English
epo,Esperanto
est,Estonian
ewe,Ewe
fao,Faroese
fij,Fijian
fin,Finnish
fre,French
fry,Western Frisian
ful,Fulah
geo,Georgian
ger,German
gla,Gaelic
gle,Irish
glg,Galician
glv,Manx
gre,Greek
grn,Guarani
guj,Gujarati
hat,Haitian
hau,Hausa
heb,Hebrew
her,Herero
hin,Hindi
hmo,Hiri Motu
hrv,Croatian
hun,Hungarian
ibo,Igbo
ice,Icelandic
ido,Ido
iii,Sichuan Yi
iku,Inuktitut
ile,Interlingue
ina,Interlingua (International Auxiliary Language Association)
ind,Indonesian
ipk,Inupiaq
ita,Italian
jav,Javanese
jpn,Japanese
kal,Kalaallisut
kan,Kannada
kas,Kashmiri
kau,Kanuri
kaz,Kazakh
khm,Central Khmer
kik,Kikuyu
kin,Kinyarwanda
kir,Kirghiz
kom,Komi
kon,Kongo
kor,Korean
kua,Kuanyama
kur,Kurdish
lao,Lao
lat,Latin
lav,Latvian
lim,Limburgan
lin,Lingala
lit,Lithuanian
ltz,Luxembourgish
lub,Luba-Katanga
lug,Ganda
mac,Macedonian
mah,Marshallese
mal,Malayalam
mao,Maori
mar,Marathi
may,Malay
mlg,Malagasy
mlt,Maltese
mon,Mongolian
nau,Nauru
nav,Navajo
ndo,Ndonga
nep,Nepali
nor,Norwegian
nya,Chichewa
oci,Occitan
oji,Ojibwa
ori,Oriya
orm,Oromo
oss,Ossetian
pan,Panjabi
per,Persian
pli,Pali
pol,Polish
por,Portuguese
pus,Pushto
que,Quechua
roh,Romansh
rum,Romanian
run,Rundi
rus,Russian
sag,Sango
san,Sanskrit
sin,Sinhala
slo,Slovak
slv,Slovenian
sme,Northern Sami
smo,Samoan
sna,Shona
snd,Sindhi
som,Somali
spa,Spanish
srd,Sardinian
srp,Serbian
ssw,Swati
sun,Sundanese
swa,Swahili
swe,Swedish
tah,Tahitian
tam,Tamil
tat,Tatar
tel,Telugu
tgk,Tajik
tgl,Tagalog
tha,Thai
tib,Tibetan
tir,Tigrinya
tsn,Tswana
tso,Tsonga
tuk,Turkmen
tur,Turkish
twi,Twi
uig,Uighur
ukr,Ukrainian
urd,Urdu
uzb,Uzbek
ven,Venda
vie,Vietnamese
vol,Volapük
wel,Welsh
wln,Walloon
wol,Wolof
xho,Xhosa
yid,Yiddish
yor,Yoruba
zha,Zhuang
zul,Zulu
